sequence,next
"[57, 289, 263, 29, 44]",67
"[289, 263, 29, 44, 67]",113
"[103, 219, 74, 180, 12]",12
"[219, 74, 180, 12, 12]",249
"[74, 180, 12, 12, 249]",142
"[180, 12, 12, 249, 142]",93
"[12, 12, 249, 142, 93]",552
"[12, 249, 142, 93, 552]",13
"[249, 142, 93, 552, 13]",222
"[142, 93, 552, 13, 222]",7
"[202, 57, 40, 292, 74]",119
"[57, 40, 292, 74, 119]",25
"[40, 292, 74, 119, 25]",25
"[292, 74, 119, 25, 25]",162
"[74, 119, 25, 25, 162]",79
"[119, 25, 25, 162, 79]",22
"[25, 25, 162, 79, 22]",7
"[25, 162, 79, 22, 7]",33
"[560, 131, 77, 77, 141]",19
"[73, 566, 567, 568, 363]",569
"[566, 567, 568, 363, 569]",570
"[567, 568, 363, 569, 570]",422
"[568, 363, 569, 570, 422]",571
"[363, 569, 570, 422, 571]",572
"[193, 208, 244, 47, 51]",74
"[208, 244, 47, 51, 74]",536
"[244, 47, 51, 74, 536]",64
"[47, 51, 74, 536, 64]",56
"[72, 134, 146, 296, 169]",67
"[134, 146, 296, 169, 67]",22
"[39, 82, 57, 151, 125]",19
"[82, 57, 151, 125, 19]",27
"[472, 131, 163, 105, 29]",125
"[131, 163, 105, 29, 125]",15
"[163, 105, 29, 125, 15]",284
"[72, 29, 42, 101, 45]",284
"[339, 100, 121, 215, 578]",207
"[133, 86, 9, 47, 149]",550
"[86, 9, 47, 149, 550]",31
"[9, 47, 149, 550, 31]",121
"[47, 149, 550, 31, 121]",54
"[149, 550, 31, 121, 54]",48
"[550, 31, 121, 54, 48]",66
"[31, 121, 54, 48, 66]",21
"[121, 54, 48, 66, 21]",45
"[54, 48, 66, 21, 45]",309
"[134, 131, 199, 112, 75]",88
"[131, 199, 112, 75, 88]",139
"[199, 112, 75, 88, 139]",222
"[112, 75, 88, 139, 222]",284
"[75, 88, 139, 222, 284]",284
"[46, 588, 119, 173, 151]",105
"[588, 119, 173, 151, 105]",32
"[119, 173, 151, 105, 32]",384
"[173, 151, 105, 32, 384]",129
"[151, 105, 32, 384, 129]",175
"[105, 32, 384, 129, 175]",107
"[32, 384, 129, 175, 107]",284
"[46, 146, 47, 25, 78]",551
"[146, 47, 25, 78, 551]",64
"[47, 25, 78, 551, 64]",430
"[25, 78, 551, 64, 430]",13
